member_reference,property_reference,relationship,valid_from,valid_to,is_verified
MOCK001,PROP001,owner,2024-01-01,,true
MOCK002,PROP002,owner,2024-01-01,,true
MOCK003,PROP003,owner,2024-01-01,,true
MOCK004,PROP004,owner,2024-01-01,,true
MOCK005,PROP005,owner,2024-01-01,,true
MOCK006,PROP006,owner,2024-01-01,,true
MOCK007,PROP007,owner,2024-01-01,,true
MOCK008,PROP008,owner,2024-01-01,,true
MOCK009,PROP009,owner,2024-01-01,,true
MOCK010,PROP010,owner,2024-01-01,,true
MOCK011,PROP011,owner,2024-01-01,,true
MOCK012,PROP012,owner,2024-01-01,,true
MOCK013,PROP013,owner,2024-01-01,,true
MOCK014,PROP014,owner,2024-01-01,,true
MOCK015,PROP015,owner,2024-01-01,,true
